Family,Category,Line Item,Model Role,Driver Basis,Aggregation,Unit,Notes
Volume,New Accounts,New Accounts,Driver,,Flow,Count,Frontbook sizing driver; forecast via trailing growth trend
Volume,Total Accounts,Total Accounts,Driver,,Stock,Count,
Volume,Active Accounts,In-Month Active Accounts,Driver,,Stock,Count,
Volume,Purchase Volume,Net Transaction Volume,Driver,,Flow,$,
Volume,In-store Spend,On-Merchant Volume,Driver,,Flow,$,Sub-component of Net Transaction Volume
Volume,Out-of-store Spend,Off-Merchant Volume,Driver,,Flow,$,Sub-component of Net Transaction Volume
Volume,Outstanding Balance,Outstanding Balance,Driver,,Stock,$,Core balance driver; roll-forward QA check applies here
Volume,Revolving Balance,Revolve Balance,Driver,,Stock,$,Base for interest yield rate
Balance,EoP Interest & Fees Balance,EoP Interest & Fees Balance,Driver,,Stock,$,
Volume,Payments,Principal Payments,Driver,,Flow,$,Runoff component in roll-forward QA check
Revenue,Net Interest Income,Interest Revenue,Rate-Derived,Revolve Balance,Flow,$,Rate = quarterly yield
Revenue,Non Interest Income,Interchange Revenue,Rate-Derived,Net Transaction Volume,Flow,$,Rate = interchange rate
Revenue,Non Interest Income,Merchant Discount Rate,Rate-Derived,Net Transaction Volume,Flow,$,Rate = MDR rate
Revenue,Non Interest Income,Fee Revenue,Rate-Derived,Outstanding Balance,Flow,$,Empirically weak driver relationship (best corr ~0.47 vs Outstanding Balance) - flag as a data gap in narrative; likely driven by delinquency/behavior fields not in this dataset
Revenue,Other Revenue,Other Revenue,Rate-Derived,In-Month Active Accounts,Flow,$,Confirmed empirically: corr 0.99 vs In-Month Active Accounts
Contra revenue,Cost of Funds,Cost of Funds,Rate-Derived,Revolve Balance,Flow,$,"Rate = cost-of-funds rate; keyed to Revolve Balance (not Outstanding Balance) so funding cost moves with Interest Revenue's own basis, correcting a seasonality-composition mismatch that was distorting Gross/Contribution Profit"
Losses,Charge-offs,Charge Offs,Rate-Derived,Outstanding Balance,Flow,$,Rate = quarterly loss rate; expect vintage curve shape
Losses,Total Recoveries,Recoveries / Debt Sale,Rate-Derived,Charge Offs,Flow,$,Likely lagged relationship - confirm during build
Expense,Fraud Losses,3rd Party Fraud,Rate-Derived,Net Transaction Volume,Flow,$,
Expense,Rewards,Rewards,Rate-Derived,Net Transaction Volume,Flow,$,Cost of Sales per brief
Expense,Royalties,Royalties,Rate-Derived,Net Transaction Volume,Flow,$,Confirmed empirically: corr 1.00 vs Net Transaction Volume
Expense,Rebates,Rebates,Rate-Derived,Net Transaction Volume,Flow,$,Confirmed empirically: corr 1.00 vs Net Transaction Volume
Expense,Transaction Costs,Payment Fees,Rate-Derived,Net Transaction Volume,Flow,$,Confirmed empirically: corr 1.00 vs Net Transaction Volume
Expense,Servicing,Servicing & Collections,Rate-Derived,In-Month Active Accounts,Flow,$,"Confirmed empirically: corr 0.86 vs In-Month Active Accounts, best of tested candidates"
Expense,Operating Expense,Program Support,Rate-Derived,Total Accounts,Flow,$,Confirmed empirically: corr 1.00 vs Total Accounts
Expense,Other,Other Credits,Rate-Derived,Total Accounts,Flow,$,AMBIGUOUS - weak vs all candidate drivers tested (max corr 0.19); sporadic n=256 not full grain; flag as genuine data-quality gap in narrative
Expense,Marketing,Marketing Expense,Acquisition-Cost,New Accounts,Flow,$,Feeds CAC; one-time at QSB=0
Expense,Acquisition,Card Origination,Acquisition-Cost,New Accounts,Flow,$,Feeds CAC; one-time at QSB=0
Expense,Acquisition,Sign-On Bonus,Acquisition-Cost,New Accounts,Flow,$,Feeds CAC; one-time at QSB=0
Expense,Acquisition,Added Features,Acquisition-Cost,New Accounts,Flow,$,Feeds CAC; one-time at QSB=0
Expense,Acquisition,KYC/AML and Underwriting Costs,Acquisition-Cost,New Accounts,Flow,$,Feeds CAC; one-time at QSB=0
Expense,Acquisition,Acquisition Bounties,Acquisition-Cost,New Accounts,Flow,$,Feeds CAC; one-time at QSB=0
Expense,Operating Expense,Partner Signing Bonus,Acquisition-Cost,Merchant (one-time),Flow,$,"SPECIAL CASE - occurs once per merchant (n=10) not per cohort; exclude from per-vintage CAC/account calc, treat as a fixed program-launch cost in narrative only"
Metric,Reference,CAC / New Account,Excluded-Metric,,,$,Pre-computed $/account ratio given in source data - do NOT sum into P&L; use only to reconcile against your own computed CAC
